t,L_W
0.0005486100121327442,2.0045070422535214
0.012290974310281172,1.8963380281690143
0.031787730126074804,1.7318309859154932
0.047402015086775356,1.5966197183098594
0.06496808566756343,1.5245070422535214
0.08115208102547872,1.4276056338028171
0.09852824814052857,1.3960563380281692
0.11514480139262545,1.3667605633802817
0.13174025425964025,1.3419718309859157
0.1491164213746901,1.3104225352112677
0.16646093791211697,1.2856338028169014
0.18386875560478982,1.247323943661972
0.2011288706018885,1.2405633802816902
0.2185155879094794,1.2067605633802818
0.23129187107664717,1.1977464788732395
0.2493327003217809,1.1842253521126762
0.26659281531887963,1.1774647887323944
0.28389513108614234,1.1616901408450706
0.30039563222028803,1.1571830985915494
0.3161259692989397,1.1571830985915494
0.33193015772537854,1.1414084507042255
0.34996043677797123,1.1301408450704227
0.3664609379121169,1.1256338028169015
0.3822440259534738,1.1143661971830987
0.39723584955425445,1.112112676056338
